,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.9568345323741008,0.8807947019867549,0.9172413793103448,151.0
Pepper__bell___healthy,0.9525862068965517,0.9910313901345291,0.9714285714285714,223.0
Potato___Early_blight,0.9791666666666666,0.94,0.9591836734693877,150.0
Potato___Late_blight,0.8509316770186336,0.9133333333333333,0.8810289389067524,150.0
Potato___healthy,0.88,0.9166666666666666,0.8979591836734694,24.0
Tomato_Bacterial_spot,0.768,0.9,0.8287769784172662,320.0
Tomato_Early_blight,0.7966101694915254,0.31333333333333335,0.44976076555023925,150.0
Tomato_Late_blight,0.8271186440677966,0.8501742160278746,0.8384879725085911,287.0
Tomato_Leaf_Mold,0.8041958041958042,0.7986111111111112,0.8013937282229965,144.0
Tomato_Septoria_leaf_spot,0.7992831541218638,0.8352059925093633,0.8168498168498168,267.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.745928338762215,0.9087301587301587,0.8193202146690519,252.0
Tomato__Target_Spot,0.7796610169491526,0.6509433962264151,0.7095115681233933,212.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.980561555075594,0.941908713692946,0.9608465608465608,482.0
Tomato__Tomato_mosaic_virus,1.0,0.45614035087719296,0.6265060240963856,57.0
Tomato_healthy,0.8274647887323944,0.9791666666666666,0.8969465648854962,240.0
accuracy,0.8533290447089096,0.8533290447089096,0.8533290447089096,0.8533290447089096
macro avg,0.86322283695682,0.8184026687530896,0.8250161293972216,3109.0
weighted avg,0.8574702991664988,0.8533290447089096,0.846099882206778,3109.0
