,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.38372093023255816,0.2185430463576159,0.27848101265822783,151.0
Pepper__bell___healthy,0.6530612244897959,0.7174887892376681,0.6837606837606838,223.0
Potato___Early_blight,0.8,0.72,0.7578947368421053,150.0
Potato___Late_blight,0.5833333333333334,0.32666666666666666,0.4188034188034188,150.0
Potato___healthy,0.0,0.0,0.0,24.0
Tomato_Bacterial_spot,0.28699551569506726,0.4,0.3342036553524804,320.0
Tomato_Early_blight,0.19444444444444445,0.04666666666666667,0.07526881720430108,150.0
Tomato_Late_blight,0.3285198555956679,0.3170731707317073,0.32269503546099293,287.0
Tomato_Leaf_Mold,0.65625,0.14583333333333334,0.23863636363636365,144.0
Tomato_Septoria_leaf_spot,0.28688524590163933,0.26217228464419473,0.273972602739726,267.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.23404255319148937,0.21825396825396826,0.22587268993839835,252.0
Tomato__Target_Spot,0.38345864661654133,0.24056603773584906,0.2956521739130435,212.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.46514047866805414,0.9273858921161826,0.6195426195426196,482.0
Tomato__Tomato_mosaic_virus,0.0,0.0,0.0,57.0
Tomato_healthy,0.4256410256410256,0.3458333333333333,0.3816091954022989,240.0
accuracy,0.4191058218076552,0.4191058218076552,0.4191058218076552,0.4191058218076552
macro avg,0.37876621692064116,0.32576554593847906,0.3270928670169774,3109.0
weighted avg,0.4065895200340733,0.4191058218076552,0.385719268495618,3109.0
