,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.9574468085106383,0.8940397350993378,0.9246575342465754,151.0
Pepper__bell___healthy,0.9444444444444444,0.9910313901345291,0.9671772428884027,223.0
Potato___Early_blight,0.9657534246575342,0.94,0.9527027027027027,150.0
Potato___Late_blight,0.8867924528301887,0.94,0.912621359223301,150.0
Potato___healthy,0.9545454545454546,0.875,0.9130434782608695,24.0
Tomato_Bacterial_spot,0.8071625344352618,0.915625,0.8579795021961932,320.0
Tomato_Early_blight,0.7866666666666666,0.3933333333333333,0.5244444444444445,150.0
Tomato_Late_blight,0.8664259927797834,0.8362369337979094,0.851063829787234,287.0
Tomato_Leaf_Mold,0.7305389221556886,0.8472222222222222,0.7845659163987139,144.0
Tomato_Septoria_leaf_spot,0.7964912280701755,0.850187265917603,0.822463768115942,267.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.760655737704918,0.9206349206349206,0.8330341113105925,252.0
Tomato__Target_Spot,0.8323699421965318,0.6792452830188679,0.7480519480519481,212.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9868421052631579,0.9336099585062241,0.9594882729211087,482.0
Tomato__Tomato_mosaic_virus,1.0,0.47368421052631576,0.6428571428571429,57.0
Tomato_healthy,0.8602150537634409,1.0,0.9248554913294798,240.0
accuracy,0.8661949179800579,0.8661949179800579,0.8661949179800579,0.8661949179800579
macro avg,0.8757567178682588,0.8326566835460842,0.8412671163156433,3109.0
weighted avg,0.8703926557246949,0.8661949179800579,0.8609389970461412,3109.0
