,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.9696969696969697,0.847682119205298,0.9045936395759717,151.0
Pepper__bell___healthy,0.9208333333333333,0.9910313901345291,0.9546436285097192,223.0
Potato___Early_blight,0.9724137931034482,0.94,0.9559322033898305,150.0
Potato___Late_blight,0.8424242424242424,0.9266666666666666,0.8825396825396825,150.0
Potato___healthy,0.9545454545454546,0.875,0.9130434782608695,24.0
Tomato_Bacterial_spot,0.7578125,0.909375,0.8267045454545454,320.0
Tomato_Early_blight,0.803030303030303,0.35333333333333333,0.49074074074074076,150.0
Tomato_Late_blight,0.8525179856115108,0.8257839721254355,0.8389380530973451,287.0
Tomato_Leaf_Mold,0.7666666666666667,0.7986111111111112,0.782312925170068,144.0
Tomato_Septoria_leaf_spot,0.7921146953405018,0.8277153558052435,0.8095238095238095,267.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.7785234899328859,0.9206349206349206,0.8436363636363636,252.0
Tomato__Target_Spot,0.7513227513227513,0.6698113207547169,0.7082294264339152,212.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9824175824175824,0.9273858921161826,0.9541088580576307,482.0
Tomato__Tomato_mosaic_virus,1.0,0.5263157894736842,0.6896551724137931,57.0
Tomato_healthy,0.855072463768116,0.9833333333333333,0.9147286821705426,240.0
accuracy,0.8536506915406883,0.8536506915406883,0.8536506915406883,0.8536506915406883
macro avg,0.866626148746251,0.821512013646297,0.8312887472649885,3109.0
weighted avg,0.8580372183177601,0.8536506915406883,0.8479760053190175,3109.0
